Asset,SKA-B.ST,EKTA-B.ST,GETI-B.ST,ERIC-B.ST,TEL2-B.ST,HM-B.ST,SKA-B.ST,EKTA-B.ST,GETI-B.ST,ERIC-B.ST,TEL2-B.ST,HM-B.ST
Channel,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close
2019-10-11,191.5422821044922,118.99381256103516,130.87481689453125,81.3292236328125,132.0055389404297,194.95118713378906,203.0,121.0,133.0500030517578,82.72000122070312,138.75,199.9600067138672
2019-10-14,191.8253631591797,120.6656265258789,131.8092803955078,80.62133026123047,131.10171508789062,198.8412322998047,203.3000030517578,122.69999694824219,134.0,82.0,137.8000030517578,203.9499969482422
2019-10-15,193.05198669433594,123.37003326416016,131.3666534423828,81.82081604003906,129.76976013183594,201.32736206054688,204.60000610351562,125.44999694824219,133.5500030517578,83.22000122070312,136.39999389648438,206.5
2019-10-16,193.52377319335938,121.99324798583984,134.26841735839844,82.37139892578125,128.5805206298828,201.86358642578125,205.10000610351562,124.05000305175781,136.5,83.77999877929688,135.14999389648438,207.0500030517578
2019-10-17,192.95762634277344,121.99324798583984,133.03884887695312,87.46430206298828,133.48019409179688,200.2061767578125,204.5,124.05000305175781,135.25,88.95999908447266,140.3000030517578,205.35000610351562
2019-10-18,193.61810302734375,122.1407470703125,154.48245239257812,87.24800872802734,134.1461639404297,201.47360229492188,205.1999969482422,124.19999694824219,157.0500030517578,88.73999786376953,141.0,206.64999389648438
2019-10-21,194.2786102294922,122.927490234375,157.8760528564453,86.26482391357422,133.3374786376953,198.6949920654297,205.89999389648438,125.0,160.5,87.73999786376953,140.14999389648438,203.8000030517578
2019-10-22,195.88265991210938,122.28826904296875,157.23667907714844,85.61592102050781,137.23817443847656,202.35105895996094,207.60000610351562,124.3499984741211,159.85000610351562,87.08000183105469,144.25,207.5500030517578
2019-10-23,197.769775390625,121.8457260131836,155.71202087402344,86.93338775634766,139.18853759765625,202.69229125976562,209.60000610351562,123.9000015258789,158.3000030517578,88.41999816894531,146.3000030517578,207.89999389648438
2019-10-24,197.8641357421875,130.9915313720703,153.59715270996094,85.55692291259766,138.332275390625,201.2298583984375,209.6999969482422,133.1999969482422,156.14999389648438,87.0199966430664,145.39999389648438,206.39999389648438
2019-10-25,196.2600860595703,132.56500244140625,152.66268920898438,85.63558197021484,136.38192749023438,200.3524169921875,208.0,134.8000030517578,155.1999969482422,87.0999984741211,143.35000610351562,205.5
2019-10-28,196.7318572998047,130.4014892578125,155.07264709472656,84.77037811279297,133.9083251953125,201.81483459472656,208.5,132.60000610351562,157.64999389648438,86.22000122070312,140.75,207.0
2019-10-29,193.3350372314453,132.3683319091797,155.4661102294922,82.60736846923828,131.4346923828125,199.52369689941406,204.89999389648438,134.60000610351562,158.0500030517578,84.0199966430664,138.14999389648438,204.64999389648438
2019-10-30,193.99554443359375,134.23681640625,158.6629638671875,82.9809799194336,131.67254638671875,198.88998413085938,205.60000610351562,136.5,161.3000030517578,84.4000015258789,138.39999389648438,204.0
2019-10-31,193.90118408203125,132.26998901367188,162.0073699951172,82.941650390625,131.33956909179688,196.69635009765625,205.5,134.5,164.6999969482422,84.36000061035156,138.0500030517578,201.75
2019-11-01,193.05198669433594,131.2373809814453,160.28599548339844,82.90232849121094,131.29197692871094,196.3551025390625,204.60000610351562,133.4499969482422,162.9499969482422,84.31999969482422,138.0,201.39999389648438
2019-11-04,194.37295532226562,136.74453735351562,160.92538452148438,85.18331909179688,130.91143798828125,196.45260620117188,206.0,139.0500030517578,163.60000610351562,86.63999938964844,137.60000610351562,201.5
2019-11-05,193.90118408203125,136.25283813476562,160.5811004638672,83.92483520507812,129.86489868164062,193.7032470703125,205.5,138.5500030517578,163.25,85.36000061035156,136.5,198.67999267578125
2019-11-06,194.18426513671875,137.67880249023438,161.5647430419922,83.96416473388672,130.24545288085938,192.4943084716797,205.8000030517578,140.0,164.25,85.4000015258789,136.89999389648438,197.44000244140625
2019-11-07,200.3173828125,139.20309448242188,162.30247497558594,83.33492279052734,130.91143798828125,190.75889587402344,212.3000030517578,141.5500030517578,165.0,84.76000213623047,137.60000610351562,195.66000366210938
2019-11-08,203.71417236328125,139.3014373779297,166.43382263183594,85.67491149902344,131.81524658203125,188.76998901367188,215.89999389648438,141.64999389648438,169.1999969482422,87.13999938964844,138.5500030517578,193.6199951171875
2019-11-11,201.44964599609375,139.94065856933594,164.17140197753906,86.08784484863281,131.33956909179688,187.5,213.5,142.3000030517578,166.89999389648438,87.55999755859375,138.0500030517578,187.5
2019-11-12,201.44964599609375,140.48155212402344,165.0075225830078,86.42213439941406,132.24337768554688,188.74000549316406,213.5,142.85000610351562,167.75,87.9000015258789,139.0,188.74000549316406
